property_name,featureID,featureID_hex,featureID_highbyte,dataType_code,dataType_guess,access,interfaceName_int,interfaceName
0x3E00008,65011720,0x3E00008,0x03,,?,READ,,(unset)
0x5100400,84935680,0x5100400,0x05,2,Long?,READ,,(unset)
0x5100490,84935824,0x5100490,0x05,12,?12,READ,4,CHARGING
0x5300000,87031808,0x5300000,0x05,2,Long?,READ,,(unset)
0x5500000,89128960,0x5500000,0x05,2,Long?,READ,,(unset)
0x5500008,89128968,0x5500008,0x05,3,Float?,READ,,(unset)
0x550000A,89128970,0x550000A,0x05,4,Double?,READ,,(unset)
0x550000D,89128973,0x550000D,0x05,4,Double?,READ,,(unset)
0x550000E,89128974,0x550000E,0x05,4,Double?,READ,,(unset)
0x5500011,89128977,0x5500011,0x05,1,Integer?,READ,,(unset)
0x5500017,89128983,0x5500017,0x05,3,Float?,READ,,(unset)
0x550001A,89128986,0x550001A,0x05,1,Integer?,READ,,(unset)
0x550001B,89128987,0x550001B,0x05,1,Integer?,READ,,(unset)
0x550001C,89128988,0x550001C,0x05,5,?,READ,,(unset)
0x550001E,89128990,0x550001E,0x05,2,Long?,READ,,(unset)
0x5500030,89129008,0x5500030,0x05,5,?,READ,,(unset)
0x5500031,89129009,0x5500031,0x05,6,?,READ,,(unset)
0x5500038,89129016,0x5500038,0x05,6,?,READ,,(unset)
0x5500043,89129027,0x5500043,0x05,7,?,READ,,(unset)
0x5A01010,94375952,0x5A01010,0x05,1,Integer?,READ,,(unset)
0x5B00000,95420416,0x5B00000,0x05,2,Long?,READ,,(unset)
0x5B0002A,95420458,0x5B0002A,0x05,1,Integer?,READ,,(unset)
0x6300000,103809024,0x6300000,0x06,2,Long?,READ,,(unset)
0x630000C,103809036,0x630000C,0x06,1,Integer?,READ,,(unset)
0x6800008,109051912,0x6800008,0x06,2,Long?,READ,1,SETTING
0x705D5E9,117822953,0x705D5E9,0x07,12,?12,READ,,(unset)
0x7E99266,132747878,0x7E99266,0x07,1,Integer?,READ,,(unset)
0x8000020,134217760,0x8000020,0x08,8,?,READ,4,CHARGING
0x8C00000,146800640,0x8C00000,0x08,2,Long?,READ,,(unset)
0x8C00008,146800648,0x8C00008,0x08,9,?9,READ,,(unset)
0x8C00010,146800656,0x8C00010,0x08,9,?9,READ,,(unset)
0x8C00018,146800664,0x8C00018,0x08,9,?9,READ,,(unset)
