# Сводка образцового экспорта. НАБЛЮДЕНИЕ, а не желаемое.
# Источник: bz5_export_20260811-161906.zip, sha256 a37ec05b487d5102c0bb22e22c6a471a807d865db69bc87a8e320f3bfa9079aa
# Строк в hal_samples: 282750. Окно: 1785935169..1786454346 (unix, секунды).
# Строка: имя замеров минимум максимум.
avg_consumption_50km 30 12.9000 15.2000
battery_temp_bigdata 1506 18.0000 42.0000
brake_pedal 899 0.0000 1.0000
cell_idx_highest 12622 1.0000 134.0000
cell_idx_lowest 12345 1.0000 136.0000
cell_temp_lowest 2 1032536982.0000 1032536982.0000
cell_v_highest 12419 2.9580 3.5200
cell_v_lowest 12433 2.9210 3.5130
charge_energy_kwh 110 0.0010 0.2170
charging_gun_connect_candidate 6 1.0000 3.0000
epb_state 15 0.0000 2.0000
ev_range 57 81.0000 405.0000
gear_enum 120 1.0000 4.0000
insulation_resistance 108 6.1030 17.0580
inverter_temp 6860 17.0000 54.0000
motor_control_voltage 752 45.0000 465.0000
motor_power 8863 -91.0000 3095.0000
motor_rpm 13434 -461.0000 9385.0000
motor_temp 1298 19.0000 62.0000
motor_torque 12137 -131.4000 230.1000
odometer 4064 6814.0000 7277.9000
pack_current 12545 -193.2000 275.0000
pack_voltage 7479 404.0000 478.0000
pack_voltage_fine 1813 425.0000 466.4000
probe_highest_temp 386 19.0000 44.0000
radar_obstacle_front_left_mid 67 50.0000 127.0000
radar_obstacle_front_right_mid 68 42.0000 127.0000
radar_obstacle_left 22 81.0000 127.0000
radar_obstacle_left_front 60 52.0000 63.0000
radar_obstacle_left_rear 19 62.0000 63.0000
radar_obstacle_right 21 97.0000 127.0000
radar_obstacle_right_front 61 43.0000 63.0000
radar_obstacle_right_rear 20 33.0000 63.0000
radar_state_front_left_mid 1 3.0000 3.0000
radar_state_front_right_mid 4 0.0000 3.0000
radar_state_left_front 3 3.0000 3.0000
radar_state_right_front 2 0.0000 3.0000
radar_state_right_rear 1 3.0000 3.0000
soc_battery 149 12.0000 99.0000
soc_display 149 12.0000 99.0000
soc_precise 1506 13.6000 99.9000
soh 13258 96.0000 96.0000
speed 9069 0.0000 121.0000
trip_a 3911 0.0000 307.4000
trip_b 3910 1516.9000 1980.8000
tyre_pressure_fl 28 275.0000 300.0000
tyre_pressure_fr 32 275.0000 292.0000
tyre_pressure_rl 29 277.0000 302.0000
tyre_pressure_rr 22 277.0000 292.0000
tyre_temp_fl 20 18.0000 38.0000
tyre_temp_fr 22 19.0000 30.0000
tyre_temp_rl 22 17.0000 35.0000
tyre_temp_rr 23 17.0000 29.0000
