# Авторитетный указатель фидов BYDAutoFeatureIds.
# Источник: feature_ids_catalog.json, sha256 80f8c7b0a9d14707b0ea2bf8938fa09931b8f8bf9afcab9754d8b23b3b2530a4
# Групп 51, полей 6699, уникальных значений 3480.
# Строка: 0xФИД имя[ имя ...]. Одно значение может носить
# несколько имён — каталог перечисляет их через пробел.
0x000001AD SET_CAR_PEDESTRAIN_RECOGNIZE
0x000004D6 FS_KEY_ID
0x00000B91 RSE_L_ATL_RESET_FLAG_SET
0x00001457 RSE_R_RHYTHM_COLOR3_SET
0x000016C0 BODYWORK_ONLINE_HAS_0x040D00
0x00001A8C SET_CAR_BACK_HOME_LIGHT_DELAY
0x00001B77 BODY_CAR_ST_VERTICAL_POSITION_SET
0x00001BC7 BODYWORK_ONLINE_HAS_0x040700
0x00001CF5 AC_TUNNEL_LENGTH_FORWARD_SET
0x00002333 AUDIO_RADAR_SOUND_SOURCE_STATE
0x000028C8 SET_MUSIC_MODE_STATE_SET
0x000029A1 SET_CAR_SAFE_DR_SET
0x000029E3 SET_MMS_BELT_SET
0x00002FBE INSTRUMENT_BRAKE_PADS
0x00003299 RSE_R_SCREEN_SWITCH_FB_TO_IVI_SET
0x000034E1 SET_GAME_HFEELING_SETTING_SET
0x00003B08 AUDIO_PHONE_VOLUME_STATE
0x00003D12 INSTRUMENT_LEFT_FRONT_LIGHT_SYSTEM
0x00003F06 SET_DIRECTION_FUNCTION_STATUS_SET
0x00003FCE SET_BRIGHTNESS_GEAR_SET
0x000041BE AUDIO_INS_SOUND_SOURCE_STATE
0x000047D5 BODYWORK_ONLINE_HAS_0x04EDFF
0x00004C4A AUDIO_MEDIA_AUDIO_WORKING_MODE_SET
0x00004D35 INSTRUMENT_SEEK_PHISICAL_KEY_RESULT
0x00004E1F BODY_DRIVER_SEAT_HORIZONTAL_POSITION
0x00004F34 AUDIO_RADAR_SOUND_VOLUME_SET_SET
0x0000552B OTA_CMD_TARGET_CAN_ID_SET
0x000059A1 SET_VOICE_CTRL_BACK_DOOR_SET
0x00005AB7 RSE_LIGHT_INTENSITY
0x000064AD SET_REASON_OF_SAVE_FAIL
0x00006977 SET_ANGEL_GERA_FEEDBACK
0x00007205 SET_SEAT_ACCOUNT_LINKAGE_CONFIG
0x00007A89 CHARGING_APPOINTMENT_CAR_YEAR
0x00007BA9 AC_THE_THIRD_PERFUME
0x0000813F AUDIO_HEADREST_SOUND_EFFECT_STATUS
0x000086F7 RSE_IVI_HOTSPOT_NUM_LIMIT_TO_RSE_SET
0x00008763 RSE_L_SCREEN_SWITCH_FB_TO_IVI_SET
0x000087F8 FS_VER_DID_SET
0x0000926C SET_LANTERN_LANGUAGE_MODE_SET
0x000096FA SET_GAME_MODEL
0x00009EEC INSTRUMENT_STEERING_SYSTEM
0x0000A576 AC_REAR_WIND_LEVEL_SET
0x0000A5D0 SET_CAR_PM25_CTRL
0x0000AB32 CHARGING_APPOINTMENT_END_TIME_DAY
0x0000AB86 AUDIO_AVAS_SOURCE_TYPE
0x0000AE52 OTA_SCREEN_CTL_SET
0x0000AFA7 SET_MMS_KEY_LOW
0x0000B6E7 TIME_ZONE
0x0000C106 SET_REAR_LEFT_SEAT_VENTILATING_STATE_SET
0x0000C6EA CHARGING_APPOINTMENT_END_TIME_DAY_SET
0x0000CB70 BODYWORK_WINDOW_LEFT_FRONT_PERCENT
0x0000CD09 INSTRUMENT_DD_LANE_LINE_STATE
0x0000D46F SET_CAR_DVR_RECORD_SET
0x0000D7C9 RSE_L_MASSAGE_MODE_RR_SET
0x0000DB73 CHARGING_VTOV_LOWEST_DISCHARGE_SETTING_VALUE
0x0000E051 AC_HAS_AC_DEFROST
0x0000E36C SET_ATMOSPHERE_LAMP_COLOR_R_VALUE_SET
0x0000E624 AUDIO_AUX_STATE
0x0000E865 SET_MMS_DOOR_CLOSE_SET
0x0000ED1E AC_START_ENGINE_ITEM_SET
0x0000ED7B RSE_L_BLN_COLOR3_SET
0x0000EE09 TIME_HOUR
0x0000EFFD CHARGING_APPOINTMENT_END_TIME_HOUR_SET
0x0000F174 GB_FRONT_MOTOR_IPM_TEMP_DM40_464
0x0000F5AC ENGINE_REAR_MOTOR_TORQUE_F_DM40_464
0x0000F5B1 BODYWORK_ONLINE_HAS_0x038A00
0x0000FF15 STATISTIC_MILEAGE2_AVERAGE_SPEED
0x0001052D SET_DOOR_WINDOW_RESET_SET
0x000109BA SET_CAR_REAR_MIRROR_FLIP_ANGEL_DET
0x0001115C SETTING_DISTRACT_MONITOR_STATE
0x00012033 INSTRUMENT_REMAINING_DISCHARGE_TIME
0x00012280 SET_LEFT_BUTTON
0x000126EF CPU_TEMPRATURE
0x00013334 SETTING_FACE_REGISTER_SCAN
0x0001391B RSE_IVI_PHONE_STATUS_PAD_TO_RSE_SET
0x00013933 BODYWORK_ONLINE_HAS_0x03D95D
0x00013ECE SET_MMS_KEY_LOW_SET
0x00014161 AC_THE_SECOND_PERFUME_SURPLUS
0x00014AF4 AC_AIR_QUAL_CTRL_MENU_STATE
0x00015237 BODY_DRIVER_SEAT_HEIGHT_POSITION_SET
0x00015333 SET_PHONE_BUTTON
0x00015415 SET_GAME_SWS_CONFIG
0x00015538 AUDIO_MEDIA_SOUND_VOLUME_SUPP_STATE
0x0001573F YUN_MAINTENANCE_MODE
0x00015CA1 GB_REAR_MOTOR_IPM_TEMP_DM40_464
0x000161E1 REMINDER
0x00016A2C SET_HANDLE_AUTO_RESET_ONLINE
0x00016A46 BODYWORK_ONLINE_HAS_0x028800
0x00016BA3 SET_CAR_BACK_ROW
0x00016FBB INSTRUMENT_ENGINE_SYSTEM
0x000176AA SET_BACKLIGHT_NIGHTMODE_SET
0x00017C00 RSE_LR_DEVICE_PROP
0x00017C2F STATISTIC_MILEAGE2_ELEC_CONSUMPTION
0x00018863 SET_SPORT_MEMORY_ONLINE
0x00018876 SET_MAX_EV_MEMORY_STATE
0x00018BBB INSTRUMENT_NAVI_LEAD_MSG_ADVANCED_SET
0x00019205 SET_BRIGHTNESS_GEAR_FEEDBACK
0x0001931C SET_GAME_SWHEEL_SENSOR_CAL_STATUS
0x0001932D AUDIO_INS_SOUND_SOURCE_SET_SET
0x00019768 BODYWORK_ONLINE_HAS_0x03D958
0x000197F6 SET_GAME_CAR_CONFIGURATION
0x0001A590 INSTRUMENT_BLIND_AREA_DETECTION_SYSTEM
0x0001A908 SET_DRIVER_SEAT_LEGREST_CONFIG
0x0001B109 ADAS_HAS_LKS_SENSITIVITY
0x0001B5A6 BODYWORK_ONLINE_HAS_0x03D95C
0x0001B78E SET_SWS_BTPIN
0x0001B8C3 VERSION_MCU_HW_CONFIG
0x0001C033 SET_POWER_OFF_REMINDER_SET
0x0001CA57 INSTRUMENT_TRAFFIC_SIGN_RECOGNITION_SYSTEM
0x0001CE29 AC_THE_SECOND_PERFUME_SURPLUS_ALERT
0x0001CF56 SET_CAR_LIGHT_NIGHT
0x0001D3E7 TYRE_BATTERY_VALUE_RIGHT_REAR
0x0001D751 LIGHT_DYNAMIC_COLORFUL_MODE
0x0001DDDC RSE_L_RHYTHM_MODE_SET
0x0001DFA9 AUDIO_NAVIGATION_VOLUME_STATE
0x0001E73A SETTING_PRE_SALE_MODE_STATE
0x0001E787 CHARGING_TIMING_STATE_SET
0x0001E8CA AC_POP_REQUEST_ENGINE_DIALOG
0x0001ED0F SET_MUSIC_MODE_STATE
0x0001F07E SET_PASSENGER_SEAT_VENTILATING_STATE_2nd
0x0001F53E SETTING_TIGHT_SAFEBELT_REQUEST
0x0001F786 DOOR_LOCK_REAR_WINDOW_LOCK_CONFIG
0x0001FDE4 SET_HAS_SOC_TARGET
0x00020328 SET_MMS_START_F
0x0002086B SET_GAME_GEAR_REAL_LEVEL
0x0002089D LIGHT_RF_ADB_CONFIG
0x00020E40 AC_THE_FIRST_PERFUME_SURPLUS_ALERT
0x00020FB8 PANORAMA_CAMERA_LIFT_CTRL
0x00021112 SET_CAR_EXTREARMIR_FOLLOWUP_SWITCH
0x00021343 INSTRUMENT_DD_FAULT_BREAKHOLD_DOOR_OPEN
0x0002152B AUDIO_RADAR_SOUND_RR_SET_SET
0x000219C5 SET_MMS_STOP_REMOTECTRL_DRIVE
0x00021D06 RSE_IVI_START_KARO_WAY_TO_RSE_SET
0x000220C3 INSTRUMENT_DISCHARGE_POWER
0x000223E7 BODYWORK_ONLINE_HAS_0x047500
0x00022C49 AUDIO_NAVI_SUPPRESS_VOICE_SET
0x000230C0 ADAS_DOW_WARN_RIGHT
0x00023533 SET_CHOOSE_ACCOUNT_SET
0x000235B8 COLLISION_STATE_S
0x0002370A GB_FRONT_MOTOR_BUS_VOLTAGE_DM40_464
0x000237AE INSTRUMENT_DD_GAP_DETECTION
0x00023918 SET_BLUETOOTH_MAC_VALUE_SET
0x00023B80 DOOR_LOCK_REAR_WINDOW_LOCK_STATE
0x00023C39 STATISTIC_TOTAL_FUEL_CON_PHM
0x00024047 CHARGING_STOP_QUANTITY_SWITCH_SET
0x00024197 POWER_DISPLAY_OWNER
0x00024306 SIGNAL_STATUS_SET
0x00024469 SET_DRIVER_SEAT_VENTILATING_STATE_SET
0x000247B6 RSE_R_BLN_COLOR3_SET
0x00024BD8 AUDIO_MEDIA_SOURCE_ARMREST_SCREEN
0x00025073 SET_CMD_RIGHT_HEAD_LIGHT_LEVEL
0x00025667 SET_VEHICLE_DISTANCE_PLUE_BUTTON
0x0002570C POWER_TFT_BACKLIGHT
0x000259BF SET_MODE_BUTTON
0x00025AE6 BODY_SEAT_POSITION_SET_INFO
0x0002624F SET_IAL_AREA_CONFIG
0x00026385 SET_GAME_MODE_STATUS_SET
0x00026633 CHARGING_POWER_BATTERY_NEED_HEAT_FLAG
0x00026783 OTA_CMD_ECU_VER
0x000268D5 SET_CMD_LEFT_HEAD_LIGHT_LEVEL_2nd
0x00027319 SET_CAR_DVR_RECORD
0x00027332 SET_GAME_GEAR_SHIFT_SYS_STATUS
0x0002754A BODYWORK_ONLINE_HAS_0x03D906
0x000277C0 INSTRUMENT_END_CHARGE_HOUR
0x00027C53 SET_HAS_REAR_WINDSCREEN_WIPER_OVERHAUL
0x00027F13 OTA_CMD_ACK
0x000285D1 GB_TREAR_MOTOR_TEMP_DM40_464
0x000286E7 SET_SAFE_DRIVING_ASSIST_STATUS_FEEDBACK
0x00028EC3 POWER_MAIN_BATTERY_VOLTAGE_WOTKING_AREA
0x00029015 DOOR_LOCK_COMMAND_AREA_CHILDLOCK_RIGHT
0x00029385 AUDIO_MEDIA_SOUND_VOLUME_SUPPRESS_SET
0x00029505 VERSION_MOTOR_CTRL_F
0x00029736 SET_CAR_BASE_PAD_AUTO_RISE_SET
0x00029C92 SET_MMS_BELT
0x00029E43 SET_SAVE_MEMORY_ONLINE
0x0002A555 AUDIO_SPEAKERS_NUMBER
0x0002A56B BODYWORK_ONLINE_HAS_0x04FA00
0x0002AAE6 SET_GAME_GEAR_SHIFT_RECOGNISE_STATUS
0x0002ADAC POWER_TP_OWNER_SET
0x0002ADC2 AUDIO_DYNA_VERSION
0x0002AE1A SET_IAL_ALL_COLOR
0x0002B31B SET_REARVIEW_ACCOUNT_LINKAGE_CONFIG
0x0002C2F3 PANORAMA_OPERATION_SET
0x0002D9E4 SET_FAULT_ALARM_SET
0x0002DBFF POWER_BCM_POWER_ON_LEVEL_SET
0x0002E81D SET_CAR_DOOR_LOCK
0x0002ECDD INSTRUMENT_ADAPTIVE_CRUISE_CONTROL_SYSTEM
0x0002F4E7 SET_AFS_SYS_STATE
0x0002F5DF BODYWORK_ONLINE_HAS_0x03D904
0x0002F646 SET_GAME_BPADEL_MAP_SET
0x0002FC48 SET_INSIDE_LIGHT_DOOR_STATE_SET
0x00031062 STATISTIC_MILEAGE1_ELEC_CON_PHKM
0x000314F5 RSE_IVI_HOTSPOT_USERNAME_TO_RSE_SET
0x00031B68 SET_SAFE_DRIVING_ASSIST_STATUS_SET
0x00032443 STATISTIC_MILEAGE2_FULE_CONSUMPTION
0x0003299F SET_CAR_ST_ACCOUNT_LINKAGE_CONFIG
